claim_id,retailer_id,contract_id,claim_type,claimed_amount_usd,verdict,gate,reason,entitled_amount_usd,excess_usd,basis,citation,decided_at
CLM-0092,RET-002,CONTRACT_ALPHA,Damages,54.3,AUTO_CLEAR,2-materiality,US$54.30 below the US$150 review threshold,54.3,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0093,RET-001,CONTRACT_ALPHA,Freight,93.54,AUTO_CLEAR,2-materiality,US$93.54 below the US$150 review threshold,93.54,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0094,RET-005,CONTRACT_BETA,Freight,301.57,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0095,RET-004,CONTRACT_BETA,Freight,258.3,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0096,RET-003,CONTRACT_ALPHA,Freight,347.26,REJECT,1-window,"submitted 158 days after invoice, window is 90 days",0.0,347.26,,"contract_alpha.md clause 7.2: ""Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.""",2026-08-25T16:58:22Z
CLM-0097,RET-003,CONTRACT_ALPHA,Damages,214.08,REJECT,1-window,"submitted 153 days after invoice, window is 90 days",0.0,214.08,,"contract_alpha.md clause 7.2: ""Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.""",2026-08-25T16:58:22Z
CLM-0098,RET-004,CONTRACT_BETA,Damages,176.28,HOLD,6-substantiation,no supporting document and above the materiality threshold,175.56,0.0,"56 damaged units x US$3.13, capped at 3.0% of invoice","claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0099,RET-006,CONTRACT_BETA,Co-op Marketing,323.05,HOLD,6-substantiation,no supporting document and above the materiality threshold,317.76,0.0,agreed support on PRM-0032,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0100,RET-002,CONTRACT_ALPHA,Shortage,70.91,AUTO_CLEAR,2-materiality,US$70.91 below the US$150 review threshold,70.91,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0101,RET-004,CONTRACT_BETA,Damages,40.7,AUTO_CLEAR,2-materiality,US$40.70 below the US$150 review threshold,40.7,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0102,RET-003,CONTRACT_ALPHA,Damages,348.45,REJECT,3-clause,"damages claimed at 2.00% of gross invoice, allowance is 1.5%",261.05,87.4,"35 damaged units x US$10.93, capped at 1.5% of invoice","contract_alpha.md clause 9.4: ""The Retailer's damages allowance is one point five per cent (1.5%) of the gross invoice value of the consignment. Damages claimed in excess of 1.5% of gross invoice value are not payable without prior written agreement of the Supplier.""",2026-08-25T16:58:22Z
CLM-0103,RET-001,CONTRACT_ALPHA,Freight,228.43,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Freight,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0104,RET-003,CONTRACT_ALPHA,Price Difference,390.36,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Price Difference),,0.0,no reference value available for Price Difference,,2026-08-25T16:58:22Z
CLM-0105,RET-005,CONTRACT_BETA,Shortage,40.42,AUTO_CLEAR,2-materiality,US$40.42 below the US$150 review threshold,40.42,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0106,RET-001,CONTRACT_ALPHA,Shortage,191.12,REJECT,5-duplicate,"same retailer, invoice, type and amount as CLM-0002 (2026-01-04)",0.0,191.12,,"trade_terms_appendix.md clause A5.1: ""Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.""",2026-08-25T16:58:22Z
CLM-0107,RET-002,CONTRACT_ALPHA,Listing Fee,886.56,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0108,RET-006,CONTRACT_BETA,Damages,222.98,REJECT,3-clause,"damages claimed at 5.67% of gross invoice, allowance is 3.0%",117.99,104.99,"0 damaged units x US$1.38, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0109,RET-004,CONTRACT_BETA,Price Difference,50.96,AUTO_CLEAR,2-materiality,US$50.96 below the US$150 review threshold,50.96,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0110,RET-001,CONTRACT_ALPHA,Co-op Marketing,1370.69,AUTO_CLEAR,0-clear,passed every gate,1373.17,0.0,agreed support on PRM-0001,,2026-08-25T16:58:22Z
CLM-0111,RET-002,CONTRACT_ALPHA,Shortage,130.38,AUTO_CLEAR,2-materiality,US$130.38 below the US$150 review threshold,130.38,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0112,RET-006,CONTRACT_BETA,Damages,104.83,AUTO_CLEAR,2-materiality,US$104.83 below the US$150 review threshold,104.83,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0113,RET-001,CONTRACT_ALPHA,Shortage,105.22,AUTO_CLEAR,2-materiality,US$105.22 below the US$150 review threshold,105.22,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0114,RET-004,CONTRACT_BETA,Freight,232.27,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0115,RET-005,CONTRACT_BETA,Damages,73.64,AUTO_CLEAR,2-materiality,US$73.64 below the US$150 review threshold,73.64,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0116,RET-001,CONTRACT_ALPHA,Price Difference,251.6,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Price Difference,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0117,RET-006,CONTRACT_BETA,Shortage,239.82,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Shortage),,0.0,no reference value available for Shortage,,2026-08-25T16:58:22Z
CLM-0118,RET-001,CONTRACT_ALPHA,Listing Fee,198.24,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0119,RET-003,CONTRACT_ALPHA,Co-op Marketing,690.49,AUTO_CLEAR,0-clear,passed every gate,704.92,0.0,agreed support on PRM-0017,,2026-08-25T16:58:22Z
CLM-0120,RET-003,CONTRACT_ALPHA,Freight,238.99,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0121,RET-003,CONTRACT_ALPHA,Promo Discount Support,1032.84,AUTO_CLEAR,0-clear,passed every gate,1023.63,0.0,agreed support on PRM-0013,,2026-08-25T16:58:22Z
CLM-0122,RET-002,CONTRACT_ALPHA,Shortage,67.85,AUTO_CLEAR,2-materiality,US$67.85 below the US$150 review threshold,67.85,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0123,RET-002,CONTRACT_ALPHA,Promo Discount Support,751.51,AUTO_CLEAR,0-clear,passed every gate,765.65,0.0,agreed support on PRM-0010,,2026-08-25T16:58:22Z
CLM-0124,RET-005,CONTRACT_BETA,Unclassified,1129.86,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0125,RET-002,CONTRACT_ALPHA,Unclassified,756.99,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0126,RET-001,CONTRACT_ALPHA,Damages,127.99,AUTO_CLEAR,2-materiality,US$127.99 below the US$150 review threshold,127.99,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0127,RET-002,CONTRACT_ALPHA,Freight,368.07,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0128,RET-006,CONTRACT_BETA,Co-op Marketing,1123.78,HOLD,6-substantiation,no supporting document and above the materiality threshold,1108.81,0.0,agreed support on PRM-0033,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0129,RET-001,CONTRACT_ALPHA,Price Difference,142.82,AUTO_CLEAR,2-materiality,US$142.82 below the US$150 review threshold,142.82,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0130,RET-001,CONTRACT_ALPHA,Co-op Marketing,1368.09,AUTO_CLEAR,0-clear,passed every gate,1373.17,0.0,agreed support on PRM-0001,,2026-08-25T16:58:22Z
CLM-0131,RET-002,CONTRACT_ALPHA,Listing Fee,398.27,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0132,RET-004,CONTRACT_BETA,Listing Fee,914.32,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0133,RET-004,CONTRACT_BETA,Shortage,39.14,AUTO_CLEAR,2-materiality,US$39.14 below the US$150 review threshold,39.14,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0134,RET-004,CONTRACT_BETA,Damages,318.51,REJECT,3-clause,"damages claimed at 5.38% of gross invoice, allowance is 3.0%",177.62,140.89,"52 damaged units x US$2.47, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0135,RET-003,CONTRACT_ALPHA,Co-op Marketing,1066.04,AUTO_CLEAR,0-clear,passed every gate,1088.48,0.0,agreed support on PRM-0012,,2026-08-25T16:58:22Z
CLM-0136,RET-001,CONTRACT_ALPHA,Freight,161.61,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0137,RET-004,CONTRACT_BETA,Freight,438.54,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0138,RET-006,CONTRACT_BETA,Freight,156.86,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0139,RET-006,CONTRACT_BETA,Promo Discount Support,325.17,AUTO_CLEAR,0-clear,passed every gate,317.76,0.0,agreed support on PRM-0032,,2026-08-25T16:58:22Z
CLM-0140,RET-006,CONTRACT_BETA,Freight,239.51,REJECT,1-window,"submitted 134 days after invoice, window is 120 days",0.0,239.51,,"contract_beta.md clause 7.2: ""Claims must be submitted within one hundred and twenty (120) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. The longer period reflects the Retailer's month-end consolidation cycle across the Malaysian and Indonesian markets.""",2026-08-25T16:58:22Z
CLM-0141,RET-005,CONTRACT_BETA,Price Difference,132.41,AUTO_CLEAR,2-materiality,US$132.41 below the US$150 review threshold,132.41,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0142,RET-001,CONTRACT_ALPHA,Co-op Marketing,892.94,REJECT,1-window,"submitted 101 days after invoice, window is 90 days",0.0,892.94,,"contract_alpha.md clause 7.2: ""Claims must be submitted within ninety (90) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. No extension of this period is granted by the Supplier's continued trading with the Retailer.""",2026-08-25T16:58:22Z
CLM-0143,RET-006,CONTRACT_BETA,Price Difference,86.19,AUTO_CLEAR,2-materiality,US$86.19 below the US$150 review threshold,86.19,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0144,RET-005,CONTRACT_BETA,Shortage,39.65,AUTO_CLEAR,2-materiality,US$39.65 below the US$150 review threshold,39.65,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0145,RET-004,CONTRACT_BETA,Promo Discount Support,1368.6,REJECT,1-window,"submitted 135 days after invoice, window is 120 days",0.0,1368.6,,"contract_beta.md clause 7.2: ""Claims must be submitted within one hundred and twenty (120) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. The longer period reflects the Retailer's month-end consolidation cycle across the Malaysian and Indonesian markets.""",2026-08-25T16:58:22Z
CLM-0146,RET-006,CONTRACT_BETA,Co-op Marketing,443.79,AUTO_CLEAR,0-clear,passed every gate,453.3,0.0,agreed support on PRM-0030,,2026-08-25T16:58:22Z
CLM-0147,RET-003,CONTRACT_ALPHA,Shortage,114.82,AUTO_CLEAR,2-materiality,US$114.82 below the US$150 review threshold,114.82,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0148,RET-004,CONTRACT_BETA,Damages,49.38,AUTO_CLEAR,2-materiality,US$49.38 below the US$150 review threshold,49.38,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0149,RET-001,CONTRACT_ALPHA,Damages,40.71,AUTO_CLEAR,2-materiality,US$40.71 below the US$150 review threshold,40.71,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0150,RET-001,CONTRACT_ALPHA,Co-op Marketing,449.69,AUTO_CLEAR,0-clear,passed every gate,442.38,0.0,agreed support on PRM-0006,,2026-08-25T16:58:22Z
CLM-0151,RET-005,CONTRACT_BETA,Promo Discount Support,484.78,REJECT,5-duplicate,"same retailer, invoice, type and amount as CLM-0003 (2026-07-01)",0.0,484.78,,"trade_terms_appendix.md clause A5.1: ""Two claims are treated as duplicates where they share the same Retailer, the same Supplier invoice reference, the same claim type and the same claimed amount.""",2026-08-25T16:58:22Z
CLM-0152,RET-005,CONTRACT_BETA,Listing Fee,610.43,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0153,RET-002,CONTRACT_ALPHA,Co-op Marketing,1491.8,AUTO_CLEAR,0-clear,passed every gate,1524.43,0.0,agreed support on PRM-0008,,2026-08-25T16:58:22Z
CLM-0154,RET-004,CONTRACT_BETA,Co-op Marketing,1164.62,REJECT,4-arithmetic,"claimed US$1,164.62 vs recomputed US$1,041.18 (tolerance US$52.06)",1041.18,123.44,agreed support on PRM-0023,"trade_terms_appendix.md clause A2.1: ""A variance between the claimed amount and the Supplier's recomputed entitlement of five per cent (5%) or fifty United States dollars (US$50), whichever is greater, is treated as within tolerance and is not challenged.""",2026-08-25T16:58:22Z
CLM-0155,RET-003,CONTRACT_ALPHA,Listing Fee,594.89,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0156,RET-006,CONTRACT_BETA,Freight,149.02,AUTO_CLEAR,2-materiality,US$149.02 below the US$150 review threshold,149.02,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0157,RET-006,CONTRACT_BETA,Damages,288.43,REJECT,3-clause,"damages claimed at 5.19% of gross invoice, allowance is 3.0%",166.74,121.69,"104 damaged units x US$2.02, capped at 3.0% of invoice","contract_beta.md clause 9.4: ""The Retailer's damages allowance is three per cent (3.0%) of the gross invoice value of the consignment. Damages claimed in excess of 3.0% of gross invoice value are not payable without prior written agreement of the Supplier. The higher allowance reflects extended last-mile transit conditions in the Indonesian market.""",2026-08-25T16:58:22Z
CLM-0158,RET-005,CONTRACT_BETA,Price Difference,97.1,AUTO_CLEAR,2-materiality,US$97.10 below the US$150 review threshold,97.1,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0159,RET-005,CONTRACT_BETA,Freight,79.47,AUTO_CLEAR,2-materiality,US$79.47 below the US$150 review threshold,79.47,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0160,RET-004,CONTRACT_BETA,Price Difference,175.06,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Price Difference),,0.0,no reference value available for Price Difference,,2026-08-25T16:58:22Z
CLM-0161,RET-004,CONTRACT_BETA,Listing Fee,602.8,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0162,RET-003,CONTRACT_ALPHA,Listing Fee,393.86,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0163,RET-003,CONTRACT_ALPHA,Damages,186.41,AUTO_CLEAR,0-clear,passed every gate,183.9,0.0,"55 damaged units x US$4.90, capped at 1.5% of invoice",,2026-08-25T16:58:22Z
CLM-0164,RET-005,CONTRACT_BETA,Unclassified,312.42,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0165,RET-004,CONTRACT_BETA,Price Difference,268.05,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Price Difference),,0.0,no reference value available for Price Difference,,2026-08-25T16:58:22Z
CLM-0166,RET-006,CONTRACT_BETA,Damages,39.47,AUTO_CLEAR,2-materiality,US$39.47 below the US$150 review threshold,39.47,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0167,RET-006,CONTRACT_BETA,Listing Fee,603.78,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Listing Fee,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0168,RET-002,CONTRACT_ALPHA,Freight,301.81,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0169,RET-005,CONTRACT_BETA,Damages,39.68,AUTO_CLEAR,2-materiality,US$39.68 below the US$150 review threshold,39.68,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0170,RET-004,CONTRACT_BETA,Co-op Marketing,1372.29,AUTO_CLEAR,0-clear,passed every gate,1372.34,0.0,agreed support on PRM-0019,,2026-08-25T16:58:22Z
CLM-0171,RET-002,CONTRACT_ALPHA,Listing Fee,908.02,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Listing Fee),,0.0,no reference value available for Listing Fee,,2026-08-25T16:58:22Z
CLM-0172,RET-005,CONTRACT_BETA,Promo Discount Support,480.75,AUTO_CLEAR,0-clear,passed every gate,492.68,0.0,agreed support on PRM-0026,,2026-08-25T16:58:22Z
CLM-0173,RET-004,CONTRACT_BETA,Price Difference,65.32,AUTO_CLEAR,2-materiality,US$65.32 below the US$150 review threshold,65.32,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0174,RET-006,CONTRACT_BETA,Damages,39.8,AUTO_CLEAR,2-materiality,US$39.80 below the US$150 review threshold,39.8,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0175,RET-005,CONTRACT_BETA,Co-op Marketing,503.58,HOLD,6-substantiation,no supporting document and above the materiality threshold,492.68,0.0,agreed support on PRM-0026,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0176,RET-006,CONTRACT_BETA,Unclassified,447.24,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Unclassified),,0.0,no reference value available for Unclassified,,2026-08-25T16:58:22Z
CLM-0177,RET-004,CONTRACT_BETA,Shortage,113.96,AUTO_CLEAR,2-materiality,US$113.96 below the US$150 review threshold,113.96,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0178,RET-005,CONTRACT_BETA,Co-op Marketing,313.01,AUTO_CLEAR,0-clear,passed every gate,312.07,0.0,agreed support on PRM-0029,,2026-08-25T16:58:22Z
CLM-0179,RET-003,CONTRACT_ALPHA,Co-op Marketing,860.71,AUTO_CLEAR,0-clear,passed every gate,863.79,0.0,agreed support on PRM-0014,,2026-08-25T16:58:22Z
CLM-0180,RET-003,CONTRACT_ALPHA,Shortage,424.83,HOLD,6-substantiation,no supporting document and above the materiality threshold,,0.0,no reference value available for Shortage,"claim_substantiation_guidelines.md clause G3.1: ""A claim of US$150 or more submitted without the evidence required by G2 is held, not rejected. The Retailer is asked once for the evidence.""",2026-08-25T16:58:22Z
CLM-0181,RET-005,CONTRACT_BETA,Damages,39.91,AUTO_CLEAR,2-materiality,US$39.91 below the US$150 review threshold,39.91,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0182,RET-006,CONTRACT_BETA,Shortage,170.88,REJECT,1-window,"submitted 162 days after invoice, window is 120 days",0.0,170.88,,"contract_beta.md clause 7.2: ""Claims must be submitted within one hundred and twenty (120) days of the date of the Supplier invoice to which they relate. Claims submitted after this period lapse and are not payable. The longer period reflects the Retailer's month-end consolidation cycle across the Malaysian and Indonesian markets.""",2026-08-25T16:58:22Z
CLM-0183,RET-002,CONTRACT_ALPHA,Freight,216.35,AUTO_CLEAR,0-clear,passed every gate (no reference value available for Freight),,0.0,no reference value available for Freight,,2026-08-25T16:58:22Z
CLM-0184,RET-004,CONTRACT_BETA,Price Difference,87.3,AUTO_CLEAR,2-materiality,US$87.30 below the US$150 review threshold,87.3,0.0,,"trade_terms_appendix.md clause A2.3: ""Claims below US$150 in value are settled without individual substantiation review, on the basis that the cost of review exceeds the exposure. This does not waive the Supplier's rights under clause 12 of the applicable agreement.""",2026-08-25T16:58:22Z
CLM-0185,RET-001,CONTRACT_ALPHA,Damages,228.63,AUTO_CLEAR,0-clear,passed every gate,223.2,0.0,"36 damaged units x US$6.20, capped at 1.5% of invoice",,2026-08-25T16:58:22Z
